MBKP con n=1000 y m=20
V=[ 52,  54,  41,  56,  26,  87,  68,  18,  10,  32,  72,  61,  53,  37,  56,  11,  86,  45,  18,  96,  47,  40, 100,   3,  33,  28,
    26,  43,  38,  46,  19,  14,  17,  68,  16,   9,  37,  50,  94,  25,  36,  18,  44, 142,  26,  34,  34,   4,  24,  99,  59,  50,
    50,  31,  28, 154,  55,  71,  28,   9,  62,  75,  51,  36,  45,  53,  35,  91,  35,  16,  40,  29,  10, 144,  23,  50,  39,  43,
    52,  34,  30,  59,  31,  71, 106,  78,  97,  13,  46,  43,  18, 102,  46,  79,  30,  44,  34,  22, 111, 105, 115, 120,  43,  20,
    22,  18,  39,  13,  11,  24,  18,  53,  84,   6,  27,  11,  53,   9,  14,  27,  86,  82, 103,   5,  26,  39,  31,   5,  41,  18,
    39,  30, 142,  32,  48,  60,  30,  24,  14,  41,  25, 119,  16,  25,   9,  48,  12,  60,  44,  60,  21,  24,  16,  20,  56,   5,
    79,  53,  95,  27,  20,  88,  60,  78, 120,   8,  48,  66,  54,  32,  61,   5,  54,  26,  16,  91,  10,  27,  26,  36,   8,  19,
    16,  49,   9,  10,  73,  17,  42,  76, 100,  43, 107,  31,  26,  75,  90,   8,  30,  37,  28,  30,  64,  68,  25,  27, 117,  13,
    37,  69,  20,  50, 115,  72,  65,  35,  80,  29,  42,  84,  20,  90,   5,  78,  24,  17,  49,  58,  14,  41,   2,  28,  63,  11,
   126,   6,  74,  32,  53, 115,  10,   9,  23,  48, 168,  23,  45,  73,  30,  43,   7,  26,  29,  35, 134,  13,  17,  79,  34,  25,
    38,  10,  26,  51,  49,  23,  19,  40,  24,  61,  39,  39,  58,  61,  33,  45,  36,  34,  83, 108,  19,   9,  61,  42,   7,  82,
    77,  45,  25,  17,  43,   9,  29, 100,  49,  29,   7,  26,  15,  34,   5,  38,  26,  37,  79, 150,  47,  42,  30,  49,  11,  63,
   118,  50,  36,  42,  55,  77,  24,  76,  31, 112,  31,  39,  14,  60,  18,  47,  71,  27,  34,  21,  55,  79,  49,  16,  19,  13,
    31,  21,  12,  43,  56,  10,  21,  50,  33,  28, 110,  87,  16,  42,  20,  38,  86,  71,  38,  95,  53,  80,  44,  56,  27,  88,
    43,  69, 128, 103,  35,  21,  81,  75,  11,  50,  33,  40,  10,  28,  10,  47,  20,  33,  77,  61,  11,  51,  52,  93,  45,  59,
    94,  32,  57,  13,  10, 109,  53,  44,  60,  38,  84,  50,  90,  43,  38,  31,  68,  40,  17,  54,  22,  35,  56,  68,  58,  22,
    49,  17,  50,  46,  51,  56,  78,  46,  13,  14,  35,  22,  11,  65,  56,  59,  43,  13,  17,  30,  47,  78,  94,  13,  62,  80,
    46, 125,  87,  76,  97,   6,   3,  37,  26,  28,  60,  16,  31,  95,  60,  66,  72,  34,  16,  17, 118,  23,   6,  13,  46,  14,
    84, 107,  62,  20,  43,  34,  35,  90,  68, 133,  23,  90,   9,  83,  74,  86,  18,  35,  17,  74, 106,  33,  49, 142,  27,  59,
    33,  30,  22,  29,  41,  70,  18,  13,  72,  32,  53,  85,  22,  43,  23, 148,   3, 134,  45, 106,  49,  68,  11,  36,  27,  46,
    36,  25,  16,  20,  53,  33,  57,  35,  53,  30,  53,  11,  69,  46,  73,  77,  73,  69,  46,   9,  34,  21,   8,  25,   9,  99,
    84,  91,  13,  54, 101,  17,  50,  60,   9,  32,  59,  81,  30,  17,  57,  48,  73,  20, 115,  49,  64,  46, 104,  49,  39,   6,
    66,  54,  64,  75,  57,  60,  39,  93,  64,  53,  34,  27,  43,  20,  35,   5,  93,  74,  26,  62,  63,  33,  20,  76,  80,  13,
    86,  45,  78,  33,  31,  67,  23,  54,  19,  32,  82,  32,  61,  17, 146,  65, 119,  13,  20,   5,  32,  36,  47, 111,  13,  13,
    24,  49,  61,  20,  12, 103,  61,  35,  34,  46,  18,  40,  20,  27,  52,  14,  32,  21,  43,  34,  67,  26,  12,  67,  58,  11,
    33,  23,  27,  37,  38,  63,  68,  74, 102, 125,  31,  27,  83, 151,  91,  43,  38,   9,  24,  58,  71,  35,  62,  99,  22,  40,
    38,  80,  45, 112, 103,  16,  32,  50,  25,  84,  68,  72,  65,  18,  93,  36,  22,  29,  13,  28, 120,  55,  25,  38,  47,  18,
    10,  65, 140,  80,  42, 107,   6,  41,  95,  22,  60,  17,   9,  73,  92,  88,  69,  14,  22,  56,  35,  20,  80,  43,  24,  39,
    88,  44,  69,  54,  40,  75,  19,  17,  57,  21,  46,  29,  61,  16,  20,  49,  55,  57,  30,   4,  47,  52,  43,  92,  52,   6,
    30,  89,  63,  67,  64, 123,  11,  16,  36,  82,  30, 105, 116,  23, 130, 103,  79,  26,  87,  18,  41,  20,  99,  75,  32,  70,
    16,  13,  17,  35,  35,  39,  33,  42,  62, 125,  22,   5,  11,  93,  80,  70,  13,  96,  65,  50,  85,  83,  29,  32,  20,  26,
    19,  46,  20,  19,  54,  14,  16, 117,  24,  27,  19,  69,  59,  27,  18,  53,  56,  40,  31,  18,  62,  96,  27,  10,  45,  10,
    45,  17, 101,  66,  40,  21,  45,  82,  37,  66,  16,  44,  44, 128,  46,  23,  18,  50,  22,  20,  90,  66,  97,  85,  36,  16,
    60, 125, 124,  94,  45,  18,  51, 113,  13,  23, 119, 109,  61,  85,  30,  35,  14,  89,  42,   6,  97,  89,  46,  71,  20,  43,
    32,  93,  70,  32,  25,  10,  16,  11,   7, 110,  41,  65,  39,  13,  11,  51,  23,  46,  13,  17,   7,  42,  11,  66,  30,  68,
    55,  15,  97,  85,   6,  37,  16,  46,  83,   9,  98,  58,  12, 131,  42,  54,  39,  32,  33,  25,  47,  65,  27,  15,  51,  49,
    42, 109,  41,  19,  54,  23,  99,  87,  30,  48,  15, 101,  44,  32,  31,  17,  43,  27,  15,  80,  10,  52,  24,  23,  32,  75,
    90,  28,  17,  47,  11, 119,  13,  35,  83,  38,  34,  37,  44,  53,  46,  69,  22,  20,  31,  73,  21,  35,  33,  27,  78,  70,
    19,  39,  56,  11,  64,  40,  19,  30,  47,  26,  59,  27]
R=[[16, 31, 33, 28, 41, 33, 40, 10, 31, 17, 39, 31, 16, 40,  8, 38, 29, 30, 18, 32, 28, 25, 25, 19, 40, 41,  9, 25,  9, 12, 30, 40, 28, 25,
    28, 16, 24, 34, 41, 22, 17, 17,  5, 32, 40, 30, 38,  5, 26, 18, 18, 36, 38, 31, 36, 38, 37, 22, 41, 16, 34, 17,  6, 26, 26, 30, 16, 10,
    18, 28, 19, 39, 31, 19, 33, 41, 32, 42, 39, 41, 40, 28, 20,  5, 15, 33, 32, 14,  5, 27, 28, 13, 23, 37, 24, 29, 16, 17, 10,  5, 33, 11,
    17, 16,  6, 24, 23, 16, 40, 15, 14, 37, 41, 16, 19, 21, 11, 23, 23, 40, 40,  9, 41, 19, 37,  6,  5, 31, 23, 40, 11, 33, 13, 29, 16, 31,
    18, 31, 13, 28, 14, 20,  8, 20,  8, 39, 21, 22, 19, 36, 36, 11, 39,  7, 34, 17,  8,  5,  6, 29, 22, 34, 17, 16, 29, 16, 38, 12, 13, 11,
     5,  7, 35, 32, 37, 27, 42, 29, 22, 30, 37,  6, 18, 11, 25,  8, 17,  9, 35, 41, 10, 18, 21, 27, 30, 15, 21,  5, 22,  8, 20, 31, 28, 10,
    20, 31, 39, 13,  6,  5, 19, 27, 31, 35, 37, 27, 13, 30, 28, 24,  5, 25, 27, 16, 25, 36,  6, 14, 27, 15, 31, 24, 26, 40, 29, 10,  9, 12,
    33,  5, 14, 14,  9, 17, 30, 23, 39, 28, 12, 26, 11, 11, 28, 37,  8, 11, 24, 32, 40, 11, 42, 15, 15, 18, 16,  9,  6, 10, 36, 22, 12, 19,
    32, 39, 41, 29, 20, 28, 34,  5,  5, 34, 42, 40, 38, 10, 28, 13, 27, 39, 31,  8, 25, 23, 23,  5, 15, 22, 17, 26, 33, 10, 35, 30, 33, 14,
    12, 13, 37, 20, 31, 10, 16,  7, 11, 29, 31, 28, 20,  6, 15, 37, 21, 42,  8, 28, 22, 35, 16, 30, 27,  9, 38, 26, 26,  6, 19, 16,  9, 28,
    11, 21, 42, 30, 21, 40, 23, 18, 42, 16, 29, 31, 21,  5, 21, 16, 39, 40, 24, 25, 11, 37, 34, 31, 23, 38, 37, 11, 12, 23,  8, 29, 17, 24,
    26, 35, 37, 28, 27, 28, 41,  5, 39, 19,  7, 21, 34, 20, 11, 15, 38, 31, 29, 26,  9, 39,  9, 10, 14, 17, 33, 32, 37, 11,  8, 20, 24, 35,
    41,  6, 16, 18, 25, 40, 41, 14, 21,  5, 34, 22, 28, 16, 39, 24, 16, 10, 30, 10, 37,  8,  6, 12, 40,  7, 17, 19, 34, 14, 19, 15, 36, 28,
    38,  8, 10, 26, 31, 20,  6, 20, 15, 17, 17, 22, 36, 37,  6, 24, 30, 20, 39, 17, 39,  6, 37, 21, 22, 19, 24,  5, 13, 38, 29, 20, 27, 30,
    29,  5, 30,  7,  8, 33, 19, 42, 29, 37, 32, 30, 22, 32, 18, 34, 11, 17, 10, 13,  6, 13, 34, 19, 13,  7, 32, 37, 31,  6, 39, 26, 31, 12,
    39, 11, 17, 13, 19, 20, 13, 32,  7, 17, 22, 20,  9, 37, 24, 20, 26, 20, 31,  8, 11, 13, 12, 16, 10, 14, 13, 21, 12,  7, 12, 31, 11, 25,
     8, 32, 34, 26,  8, 19,  9, 32, 24, 35,  6, 38, 31, 33, 10, 23, 13, 35, 20, 22, 21, 17, 39, 10, 27, 25, 29, 33, 18, 41, 41,  6, 19, 21,
    27, 31, 32,  5, 28, 36, 14, 18, 38, 20, 24, 34, 17, 41, 34, 32, 17,  5, 14,  9, 24, 10, 27,  9,  9, 29, 21, 17, 26,  8, 29, 18, 23, 22,
    42,  6, 21, 13, 38, 17, 24, 14,  7, 22, 22, 23, 34, 29, 41, 25, 35, 33, 16, 22, 23, 21, 34, 41, 10, 35, 14, 28, 22, 23, 17, 14, 36, 22,
    35, 29, 19, 39, 37, 14, 25, 23, 27, 24, 40, 39, 40, 28, 38, 20, 33, 12, 21, 23, 41,  6,  8, 29, 40,  9,  8, 38, 28, 29, 14,  9, 17, 25,
    33, 31, 11,  8, 42, 29, 22, 21, 10,  6, 38,  9, 23, 10, 32, 37, 22, 22, 36, 38, 17, 40, 11,  5, 22, 28, 26, 40, 31, 42, 13,  8, 16, 12,
    26, 31,  7, 23, 41, 31,  9, 30, 39, 12,  9, 35, 32, 17, 28, 28, 13, 24,  5, 20, 25, 31, 31, 19, 16, 10, 14,  7, 21, 42, 12, 32, 14, 13,
    29, 21, 40,  6, 24, 25, 22, 28, 10, 41, 11, 17, 17, 18, 20, 15, 40,  5, 35, 38, 36, 19, 33,  9, 38, 10, 16, 23, 14, 20, 17, 32,  7, 16,
    11, 38, 19, 35, 13, 26, 42, 35, 26, 11, 22, 26, 19, 27, 11, 42, 35, 27,  9, 22, 40, 28, 26, 30, 29, 15, 41, 12, 25,  6, 28, 25, 31, 29,
    37, 40, 40, 36,  5, 26, 26,  9,  6, 35, 34, 20, 17,  8, 20, 40,  6, 12, 35, 22, 22, 18, 14,  7, 41, 13, 24, 14, 21, 30,  5, 36,  9,  5,
    20, 24, 13, 16, 13, 39, 24, 25, 39, 12, 27, 18, 24, 42, 22, 21,  7, 39, 31, 28, 24, 35, 33, 17,  8, 11, 33,  9, 17, 33, 30,  6, 38, 19,
    10, 30, 41, 16, 39, 39, 23, 18, 36,  9, 21, 35, 10, 26, 20,  7, 20, 14, 26, 12,  5, 36, 21, 34, 17, 32, 29, 19, 26, 18, 31, 18, 31, 37,
    18,  8, 10, 22,  9,  7, 31, 22, 40,  6,  9, 20, 30,  6, 30,  7, 25, 17, 38, 35, 22, 36, 15,  6, 35, 32, 26, 26, 20, 20, 37, 30, 24, 34,
     9, 19, 12, 25, 14, 14,  9, 20, 38, 36, 30, 40, 18, 26, 15, 26, 22,  6, 35, 27, 25, 25, 35, 26, 28,  6, 41, 32, 12, 28, 17, 33, 15, 31,
    28,  6, 40, 29, 30, 37, 42, 31, 41, 15, 34, 14, 31, 38],
