MBKP con n=200 y m=10
V=[ 13,  24,  45,  64, 102,  36,  34,  21,  75,  31,  58,  26,   9,
   133,  13,  34,  19,  77,  54,  26,  76,  72,  24,  10,  34,   7,
    17,  48,  19,  21,  24,   8,  13,  74,  81,  26,  47,  18,  31,
    70,  57, 107,  12,  14,  29,  17,  73,  20,   5,  16,  30,  69,
    30,  77,  33,  22,  51,  23,  19,  23,   9,  96,  60,  28,  44,
    88,  15,  86,   8,  47,  46,  45,  29,  74,  88,  53,  40,  79,
    11,  24,   8,  29,  50, 106,  76,  49,   7,  41,  36,  95,  17,
    19,  32,  32,  71,  53,  16,  59,  18,  14,  43,  41,  97,  20,
    71,   9,  40,  18,  39,  34,  20,  90,  29,  34,  41,  19,  23,
    29,  32, 115,  27,  71, 100,  15,  32,  13, 128,  48,  51,  23,
    27,  17,  33,  37,  38,  33,  47,  68,  15,  40,  49,  17,  16,
    16,  51,  41, 117,  30,  11,  35,  98,  27,  24,  33,  82,  44,
    37,  31,  52,  82,  54,  38,  69,  36,  79,  26,  67, 125,  86,
    15,  43,  37,  69,  21,  70,   8, 102,  18,  17,  52,   9,  33,
    14,  40,  13,  23,   9,  17,  46,  73,  13,  41,  97, 107,  10,
    26,  19,  76,  53,  51]
R=[[13, 30, 16, 21,  8, 45, 29, 44, 26, 41, 20, 11,  9, 48, 25, 18, 20,
    35,  9,  9, 11, 43, 46, 44, 19, 16, 47, 10,  8, 18, 47, 11, 17, 47,
    30, 40, 30, 25, 23, 30, 36, 24, 17, 28, 31, 25, 30, 39, 19, 18,  9,
    33, 13, 17, 34, 38, 14, 44, 26, 43, 28,  5, 37, 10, 25, 41, 31, 18,
    28,  5, 24,  9,  5, 30, 23, 40, 21, 43, 45, 33, 41, 40, 36, 32, 10,
     8, 10, 24, 28, 23, 23,  7, 34, 36, 17, 30, 46,  6, 37, 12, 39, 25,
     8, 27, 10, 34, 45, 30, 37, 12, 40, 10, 29, 16, 38, 34, 26, 36, 28,
    16, 30, 20, 25, 30, 45, 15, 20, 40, 22, 45, 18, 15, 38,  5, 23, 22,
    19, 39, 29, 21,  8, 20, 17,  8, 30, 45, 24, 47, 43, 24, 33, 34, 25,
    12, 45, 26, 11, 19, 10, 28, 30, 18, 24, 14, 31, 21, 19, 25, 39, 19,
    30, 48, 41, 10,  6, 33,  9,  8, 30, 27, 11, 13,  7, 47, 28, 19,  9,
    22, 20, 48,  6, 47, 29, 33, 28, 16, 23, 47, 18, 35],
   [40, 22, 19, 43, 40, 24, 29, 48, 28, 41, 30, 28, 52, 50, 17, 20, 33,
    37, 47, 23, 12, 20, 10, 13, 31, 23, 24, 51, 40, 51, 15, 43, 29, 11,
