MUKP con n=200 y m=10
V=[68,  30,  18,   9,  24,  55,  32,  70,  36,  88,  85,  77,  37,
   24,  21,  73,  58,  16,  55,  94,  27,   9,  89,  51,  25,  92,
   96,  24,  23,  47,   9,  41,  62,  31,  13,  25,  30,  16,  87,
   48,  66,  39,  29,  72,  61, 111,   7,  90, 114,  34,  37,  40,
   22,  40,  93,  63,  50,  21,  15,  37,  14,  42,  19,   9,  81,
   28,  86,  19,  28,  22,  51,  25,  59,  48,  81,  19, 144,  37,
   10, 138,  31,  88,  21,  31,  98,  41,  17,  26,  61,  27,  10,
   59,  58,  25,  82,  20,  63,  45,  39,  37,  38,  73,  71,  97,
   15,  23,  23,  29, 136,  28,  29,  25,  13,  21, 119,  14,  39,
   12,  21,  50, 101,  19,  57,  93,  53,  33,  16,  20,  60,  45,
   43,  19,  50,  60,  62,  21,  10,  33,  38, 102,  82,  42,  36,
   34,   4,  48,  56,  11,  70,  42,  32,  60,  31,  49,  27,  49,
   48,  61,  72,  95,  17,  64,  52,  33,  67,  29,  29,  86,  44,
   13,  72,  63,  47,  58,  41,  89,  58,  12,  41,  14,  36,  65,
   70,  48,  51,  53,  35,  65,  75,  93,  48,  14, 134,  44,   3,
   54,  17,  44,  46,  15]
R=[[15, 15, 21, 24,  5, 35, 10, 13,  9, 37, 10, 39, 34, 35, 11, 48, 33,
    21, 34, 33, 29,  8, 12,  5, 13, 10,  7, 51, 39, 23, 17, 16, 42, 51,
    33, 14, 43, 42, 39,  9, 20, 22, 51, 26, 21, 49, 39, 55, 40,  4,  5,
    40, 12, 32, 48,  6, 21, 54, 18, 10,  5, 43, 23, 39, 13, 40, 35,  6,
    53, 29, 39, 18, 37, 24,  4, 11, 51,  6, 37, 55, 39, 30, 52, 39, 29,
    17, 51, 23, 11, 11, 11, 21, 52, 44, 13, 55,  5, 14, 44, 33, 49, 18,
    33, 37,  4, 46, 47, 33, 52, 33, 15, 14, 24, 16, 46, 20, 36, 39, 24,
    55, 41, 42,  8, 31, 13, 19, 33, 23,  4, 21, 34, 45, 42, 16, 17,  5,
    32, 54,  6, 16, 30, 14, 14, 16, 16, 23,  9,  8, 38, 37, 23, 28, 30,
     5, 26, 51, 41, 10,  5, 31, 28, 40, 12,  8, 25, 44, 35,  9, 23, 29,
    38, 47, 16, 35, 13, 32, 22, 27,  7,  6, 39, 14, 24, 15, 41, 21, 19,
     4, 33, 29, 31, 21, 19, 27, 22, 19, 19, 50, 20, 23],
   [12, 10, 41, 37, 26, 35, 23, 24, 27, 38, 16, 24, 18, 29, 23, 41, 22,
    13, 30, 31, 14, 24, 36, 17, 32, 21, 34, 41, 10, 32, 34, 12, 33, 41,
    27, 15, 40, 19, 19, 40, 33, 24, 13, 28, 25, 32, 22, 22, 10, 29, 19,
    15, 11, 41, 37, 39, 28, 27, 25, 23, 29, 18, 18, 22, 33, 11, 38, 25,
    24, 29, 21, 21, 37, 11, 31, 10, 38, 13, 13, 24, 27, 11, 12, 27, 34,
    31, 19, 34, 35, 33, 40, 35, 15, 32, 35, 31, 23, 19, 29, 20, 24, 32,
    14, 27, 35, 25, 13, 27, 36, 24, 37, 18, 24, 38, 18, 40, 32, 26, 36,
    10, 41, 30, 20, 41, 32, 26, 17, 17, 22, 21, 39, 36, 33, 24, 28, 14,
